,name,description,host_name,host_response_time,host_response_rate,neighbourhood,room_type,accommodates,amenities,price,has_availability,review_accuracy,cleanliness,location_review,good_property,longitude,latitude
0,Pelayo attic Deluxe H4 - BCN54,"Fully equipped apartment for 8 people with 2 double bedrooms with double bed or 2 single beds(according to the guest preferences), 2 bathrooms, a living/dining room and fully-equipped kitchen. Each bedroom has a private livingroom FREE HI-SPEED WI-FI<br /><br />-75€ OBLIGATORY CLEANING FEE PER STAY IS NOT INCLUDED IN THE PRICE, IT MUST BE PAID DURING THE CHECK-IN.- <br />Not included in apartment price: EUR 2,48€ city tax per person per night.<br /><br /><b>The space</b><br />This fully equipped apartment inaugurated on January 2015 is located in the same building than Pelayo Attic Deluxe 2 & 3, this is the perfect solution for groups until 20 people.<br /><br />Designed for your comfort and tranquillity, Pelayo Deluxe Apartments offer a range of services aimed at making your stay a pleasant experience.<br /><br /><b>Guest access</b><br />Private 2BR apartment in the heart of Barcelona with Central Air Conditioning, International TV channels, free hi-speed WI-FI, 48"" LED TV on living r",Juan,within a few hours,89%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Iron"", ""Private entrance"", ""Smoke alarm"", ""Oven"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""First aid kit"", ""Refrigerator"", ""Heating"", ""Extra pillows and blankets"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Cable TV"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Single level home"", ""Stove"", ""Host greets you""]",299.0,t,9.0,10.0,10.0,T,2.16731,41.385459999999995
1,Exquisito apartamento con espacios abiertos y luz,"Estar en Barcelona. En el centro de Barcelona. Y alojarse en un espacio único de techos altos, estilo propio y mucha luz natural. No es un sueño. Ese apartamento existe. Y está en Eixample.<br /><br /><b>License number</b><br />HUTB-003208",Mar,within an hour,90%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Elevator"", ""Coffee maker"", ""Dishwasher"", ""High chair"", ""Iron"", ""Smoke alarm"", ""Full kitchen"", ""Bedroom comforts"", ""Bathtub"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Heating"", ""Crib"", ""Baby bath"", ""Hair dryer"", ""Air conditioning"", ""Children\u2019s books and toys"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Bathroom essentials"", ""Game console"", ""Children\u2019s dinnerware"", ""TV"", ""Fire extinguisher"", ""Baby monitor""]",299.0,t,10.0,10.0,10.0,T,2.15802,41.38347
2,My Address in Barcelona 31,"IMPORTANT INFORMATION:<br />More than ever, cleanliness is one of our main objectives. That is why we reinforce the cleanliness inside the apartment, and every two hours, in all common areas. We use products fully approved by the health department.<br />Also, as a preventive measure, we have installed gel dispensers at the entrance of the building, as well as at the entrance of the apartment. We remind you that we are closer than ever through the mail and our phone 24 hours<br /><br />  hutb009966<br /><br /><b>The space</b><br />Beautiful Apartment of 180m2 in the city centre of Barcelona, 5 minutes walk from Plaza Cataluña and Ramblas and 5 minutes walk from Borne, bohemian and artisan excellence. Ideal for families or groups of friends who wants to enjoy all the cultural and attractions available in Barcelona. <br />With 6 bedrooms the apartment has capacity for 14 people, has three bathrooms and a fully equipped kitchen to enjoy the Mediterranean food.  A spacious living room of 40",My Address,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,14,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Washer"", ""Paid parking off premises"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Extra pillows and blankets"", ""Heating"", ""Refrigerator"", ""Indoor fireplace"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Stove"", ""Host greets you""]",294.0,t,9.0,9.0,10.0,T,2.1760599999999997,41.39035
3,Explore Barcelona from a Stunning Gem,"Fix dinner in a sleek, marble-countered kitchen and serve guests at a robust hardwood table amid modern furnishings, vivid artworks, and elegant tile floors. Stained glass and ornate mirrors add a traditional touch to this otherwise chic hideaway. Given the current situation worldwide, we have improved and incorporated new procedures into our cleaning protocols.<br />There is a difference between cleaning and disinfecting, both are very important and currently being carried out in our apartments, in order to guarantee the safety of our guests as well as our team.<br /><br /><b>License number</b><br />HUTB-003499",Ellie,within a few hours,89%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Elevator"", ""Wifi"", ""Coffee maker"", ""Room-darkening shades"", ""Dishwasher"", ""High chair"", ""TV"", ""Washer"", ""Air conditioning"", ""Full kitchen"", ""Pack \u2019n Play/travel crib"", ""Crib"", ""Free parking on premises"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dryer"", ""Smoke alarm"", ""Bedroom comforts"", ""Bathroom essentials"", ""Iron"", ""Free street parking"", ""Heating""]",288.0,t,10.0,10.0,10.0,T,2.1705099999999997,41.393390000000004
4,Sagrada Familia Deluxe Apartment - BCN54,"This fully equipped apartment for 8 people has 3 double bedrooms, a bathroom, a toilette, a living/dining room with sofa bed and a fully-equipped kitchen. Very close to the Sagrada Familia<br /><br />- LICENSE: HUTB010316<br /><br /><b>The space</b><br />Apartment very comfortable and functional. Located next to the Sagrada Familia and the Hospital de Sant Pau. Well connected to the city center by public transport. Total Refurbished in 2015.<br /><br />Designed for your comfort and tranquillity, our apartments offer a range of services aimed at making your stay a pleasant experience. Living Barcelona!<br /><br /><b>Guest access</b><br />Private 3BR apartment in the heart of Barcelona with Air Conditioning. Only 50m far from the Sagrada Familia!<br /><br />· Living room with double sofa bed.<br />· Bedroom with double bed<br />· Bedroom with 2 single beds<br />· Bedroom with 2 single beds<br />· Kitchen<br />· Washer and dryer<br />· Design complete bathroom with shower<br />· Independe",Juan,within a few hours,89%,"Barcelona, Catalonia, Spain",Entire home/apt,8,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Private entrance"", ""Oven"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Extra pillows and blankets"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Cable TV"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Building staff"", ""Essentials"", ""TV"", ""Single level home"", ""Stove""]",288.0,t,9.0,9.0,9.0,T,2.17048,41.4024
5,3 Bedroom with terrace,"This lovely and modern attic duplex is located near Arc De Triomf, as well as a few minutes walk to the famous Paseo De Gracia. The apartment offers three large, tastefully designed bedrooms, a beautiful sunny terrace, 2 bathrooms and a large living area. The apartment has all the necessary amenities to enjoy your stay in Barcelona, as well as a fully equipped kitchen.<br /><br />Additional Information:The terrace has great views of the Sagrada Familia and the Agbar tower (which is spectacularly lit at night). It features one table and chairs. There are blinds on the sky light windows. Important announcement:- Parties are strictly prohibited in the apartment.<br />- It is very important to respect the noise level (people, music) during the entire stay.<br />- The perfect option for families or groups of friends (Age of preference: over 24 years).  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Min",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,6,"[""Dishwasher"", ""Cable TV"", ""TV"", ""Air conditioning"", ""Heating"", ""Kitchen"", ""Microwave"", ""Essentials"", ""Dryer"", ""Bathtub"", ""High chair"", ""Wifi"", ""Coffee maker"", ""Crib"", ""Elevator"", ""Oven"", ""Hair dryer"", ""Washer"", ""Iron"", ""Shampoo""]",283.0,t,9.0,10.0,10.0,T,2.17591,41.39434
6,Luxury 3 bedroom 2 bathroom,"This modern apartment in Barcelona, located in the heart of the Eixample district of Barcelona, has been fully renovated and offers 3 double bedrooms, 2 bathrooms, a large living room and a beautiful sunny gallery with views of Diputación Street and the Rambla de Catalunya, one of the most exclusive streets in the city. The apartment comes fully equipped with all the amenities needed to make your stay comfortable and has a fully equipped kitchen. It’s located in the Habitat Apartments Rambla Deluxe building, along with Rambla Deluxe B. Additional Information:- There is a concierge in the building.  <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures o",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,6,"[""Crib"", ""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Oven"", ""Air conditioning"", ""Shampoo"", ""Washer"", ""Hair dryer"", ""TV"", ""High chair"", ""Dishwasher"", ""Wifi"", ""Iron"", ""Dryer"", ""Heating"", ""Patio or balcony"", ""Essentials""]",281.0,t,10.0,9.0,10.0,T,2.1664,41.38821
7,THREE-FLOOR HOUSE WITH TERRACE - PL ESPAÑA 1098,"Esta fantástica casa cuenta con un gran número de cómodas habitaciones y areas de descanso, siendo una opción ideal para familias o grupos de amigos que desean disfrutar juntos de tiempo de calidad en Barcelona.<br /><br /><b>The space</b><br />La residencia dispone de 2 terrazas: Lo más grande, a nivel de calle, y a la que se accede desde la moderna cocina totalmente equipada, cuenta con hermosos suelos en madera oscura, mesa, sillas y 2 tumbonas para tomar el sol. Por su parte, la terraza de la segunda planta, a la que se accede desde una de las habitaciones, tiene una pequeña mesa para 2.<br />En la soleada y espaciosa sala de estar encontrarás un enorme sofá de esquina y pintorescas figuras enmarcadas en la pared. En la misma estancia, la elegante zona del comedor está decorada con un gran espejo, lámparas de diseño y se complementa con la obra de arte abstracto en la pared. Las habitaciones están equipadas con cómodas camas y grandes armarios, por lo que la casa también es adecuad",Alba,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,10,"[""Hot water"", ""Washer"", ""Wifi"", ""Air conditioning"", ""Essentials"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Heating"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Long term stays allowed""]",279.0,t,9.0,10.0,9.0,T,2.1438,41.37682
8,Dandi-Debonair Apartment Close to Passeig de Gràcia,"Gather around the mahogany dining table for a tasty meal underneath the captivating Artichoke lamp by Poul Henningsen.  Relax sitting in the Barcelona chair and ottoman or in a pair of Eames lounge chairs, next to the leather sofa and the Noguchi coffee table rounding the scene. All this avant-garde design, matches to perfection with the aristocratic air of the oak paneled walls and the original Catalan hydraulic mosaic flooring... a piece of history at your feet.<br /><br /><b>License number</b><br />HUTB-012042",Jaume,within a day,80%,"Barcelona, Catalunya, Spain",Entire home/apt,6,"[""Kitchen"", ""Elevator"", ""Coffee maker"", ""Dishwasher"", ""High chair"", ""Iron"", ""Smoke alarm"", ""Dryer"", ""Bedroom comforts"", ""Bathtub"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Air conditioning"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Bathroom essentials"", ""TV"", ""Self check-in""]",275.0,t,10.0,10.0,10.0,T,2.16549,41.39539
9,Deluxe Apartment by Miro EnjoyBCN Apts,"Unique apartment thanks to its size, natural light and superb location right in the centre of Barcelona.There´s a stunning chill-out terrace with excellent views and a swimming pool, where guests can relax and enjoy the warm Mediterranean sun.<br /><br /><b>The space</b><br />A superb, spacious apartment, perfect for accommodating large groups of up to 10 people. It enjoys an exceptional location, just a stone’s throw from elegant Passeig de Gràcia and Plaça de Catalunya. The apartment has been tastefully refurbished with high-quality finishes and is beautifully decorated in a warm, modern style. What’s more, there is a chill-out terrace with a swimming pool and solarium: a magical spot in which to enjoy the warm Mediterranean sun.<br /><br /><b>Guest access</b><br />This apartment has a parking space under request and availability. It has an extra cost of 10€/day.<br /><br />Terrace and community pool are open from 9:00am until 10:00pm.<br /><br /><b>Other things to note</b><br />The ",Enjoybcn,within an hour,95%,"Barcelona, Catalunya, Spain",Entire home/apt,10,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Dishwasher"", ""Paid parking on premises"", ""Hangers"", ""Iron"", ""Dryer"", ""Oven"", ""Shampoo"", ""Washer"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Lockbox"", ""Extra pillows and blankets"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Hair dryer"", ""Air conditioning"", ""Cable TV"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""Pool"", ""TV"", ""Stove""]",273.0,t,10.0,10.0,10.0,T,2.16335,41.3854
